date,state,district,pincode,demo_age_5_17,demo_age_17_
16-12-2025,madhya pradesh,shajapur,465113,0,4
16-12-2025,madhya pradesh,shajapur,465226,2,14
16-12-2025,madhya pradesh,shajapur,465339,1,2
16-12-2025,madhya pradesh,shajapur,465447,1,19
16-12-2025,madhya pradesh,sheopur,476332,11,25
16-12-2025,madhya pradesh,sheopur,476335,8,34
16-12-2025,madhya pradesh,sheopur,476337,7,77
16-12-2025,madhya pradesh,sheopur,476339,8,53
16-12-2025,madhya pradesh,shivpuri,473585,3,17
16-12-2025,madhya pradesh,shivpuri,473670,8,39
16-12-2025,madhya pradesh,shivpuri,473770,5,35
16-12-2025,madhya pradesh,shivpuri,473781,1,48
16-12-2025,madhya pradesh,shivpuri,473885,1,29
16-12-2025,madhya pradesh,shivpuri,475110,0,3
16-12-2025,madhya pradesh,singrauli,486881,8,39
16-12-2025,madhya pradesh,singrauli,486892,6,33
16-12-2025,madhya pradesh,tikamgarh,472111,13,43
16-12-2025,madhya pradesh,tikamgarh,472115,2,27
16-12-2025,madhya pradesh,tikamgarh,472446,1,3
16-12-2025,madhya pradesh,tikamgarh,472447,0,7
16-12-2025,madhya pradesh,ujjain,456001,4,38
16-12-2025,madhya pradesh,ujjain,456331,0,6
16-12-2025,madhya pradesh,ujjain,456550,2,22
16-12-2025,madhya pradesh,ujjain,456771,4,12
16-12-2025,madhya pradesh,umaria,484001,0,8
16-12-2025,madhya pradesh,umaria,484555,0,26
16-12-2025,madhya pradesh,vidisha,464001,7,40
16-12-2025,madhya pradesh,vidisha,464114,8,34
16-12-2025,madhya pradesh,vidisha,464221,10,47
16-12-2025,madhya pradesh,vidisha,464224,8,13
16-12-2025,madhya pradesh,vidisha,464258,1,3
16-12-2025,madhya pradesh,khandwa,451115,0,2
16-12-2025,maharashtra,ahmednagar,413714,0,1
16-12-2025,maharashtra,ahmednagar,414005,2,1
16-12-2025,maharashtra,ahmednagar,414111,0,2
16-12-2025,maharashtra,ahmednagar,414305,0,1
16-12-2025,maharashtra,ahmednagar,422604,0,2
16-12-2025,maharashtra,ahmednagar,422605,0,4
16-12-2025,maharashtra,ahmednagar,422610,0,2
16-12-2025,maharashtra,ahmednagar,422620,0,1
16-12-2025,maharashtra,ahmednagar,423109,1,1
16-12-2025,maharashtra,ahmednagar,413709,2,39
16-12-2025,maharashtra,ahmednagar,413710,0,8
16-12-2025,maharashtra,ahmednagar,413717,1,2
16-12-2025,maharashtra,ahmednagar,413721,0,10
16-12-2025,maharashtra,ahmednagar,414006,0,21
16-12-2025,maharashtra,ahmednagar,414105,0,33
16-12-2025,maharashtra,ahmednagar,414201,0,3
16-12-2025,maharashtra,ahmednagar,414306,0,12
16-12-2025,maharashtra,ahmednagar,414502,1,49
16-12-2025,maharashtra,ahmednagar,422601,0,35
16-12-2025,maharashtra,ahmednagar,422608,0,2
16-12-2025,maharashtra,ahmednagar,422620,1,25
16-12-2025,maharashtra,ahmednagar,422622,2,16
16-12-2025,maharashtra,ahmednagar,423107,4,14
16-12-2025,maharashtra,ahmednagar,423602,0,13
16-12-2025,maharashtra,ahmednagar,413736,0,2
16-12-2025,maharashtra,akola,444003,1,10
16-12-2025,maharashtra,akola,444004,2,12
16-12-2025,maharashtra,akola,444104,0,6
16-12-2025,maharashtra,akola,444501,1,22
16-12-2025,maharashtra,akola,444502,1,2
16-12-2025,maharashtra,amravati,444708,0,4
16-12-2025,maharashtra,amravati,444801,3,19
16-12-2025,maharashtra,amravati,444802,0,6
16-12-2025,maharashtra,amravati,444806,5,15
16-12-2025,maharashtra,amravati,444901,0,1
16-12-2025,maharashtra,aurangabad,423703,0,8
16-12-2025,maharashtra,aurangabad,431005,2,10
16-12-2025,maharashtra,aurangabad,431101,2,15
16-12-2025,maharashtra,aurangabad,431110,3,7
16-12-2025,maharashtra,aurangabad,431115,1,14
16-12-2025,maharashtra,aurangabad,431121,0,32
16-12-2025,maharashtra,aurangabad,431137,0,8
16-12-2025,maharashtra,aurangabad,431151,1,13
16-12-2025,maharashtra,beed,431122,12,130
16-12-2025,maharashtra,beed,431123,6,50
16-12-2025,maharashtra,beed,431127,4,46
16-12-2025,maharashtra,beed,431130,5,24
16-12-2025,maharashtra,beed,431515,0,34
