date,state,district,pincode,age_0_5,age_5_17,age_18_greater
31-12-2025,karnataka,bidar,585330,2,3,0
31-12-2025,karnataka,bidar,585402,6,0,0
31-12-2025,karnataka,bidar,585413,1,0,0
31-12-2025,karnataka,bidar,585418,1,2,0
31-12-2025,karnataka,bidar,585421,4,3,0
31-12-2025,karnataka,bidar,585437,2,2,0
31-12-2025,karnataka,bidar,585443,1,3,0
31-12-2025,karnataka,vijayapura,586113,1,0,0
31-12-2025,karnataka,vijayapura,586116,1,1,0
31-12-2025,karnataka,vijayapura,586119,3,1,0
31-12-2025,karnataka,vijayapura,586122,2,0,0
31-12-2025,karnataka,vijayapura,586123,4,2,0
31-12-2025,karnataka,vijayapura,586212,1,0,0
31-12-2025,karnataka,vijayapura,586213,1,0,0
31-12-2025,karnataka,vijayapura,586217,2,0,0
31-12-2025,karnataka,chamarajanagara,571127,1,0,0
31-12-2025,karnataka,chamarajanagara,571439,2,0,0
31-12-2025,karnataka,chamarajanagara,571442,1,0,0
31-12-2025,karnataka,chamarajanagara,571312,1,0,0
31-12-2025,karnataka,chikkamagaluru,577132,0,1,0
31-12-2025,karnataka,chikkamagaluru,577144,1,0,0
31-12-2025,karnataka,chikkamagaluru,577182,1,0,0
31-12-2025,karnataka,chikkamagaluru,577548,1,1,0
31-12-2025,karnataka,chikkaballapura,562102,3,0,0
31-12-2025,karnataka,chikkaballapura,563128,6,1,0
31-12-2025,karnataka,chikkaballapura,563146,6,1,0
31-12-2025,karnataka,chikkamagaluru,577128,1,0,0
31-12-2025,karnataka,chikkamagaluru,577101,2,0,0
31-12-2025,karnataka,chitradurga,577519,1,0,0
31-12-2025,karnataka,chitradurga,577522,11,4,0
31-12-2025,karnataka,chitradurga,577527,3,0,1
31-12-2025,karnataka,chitradurga,577532,2,0,0
31-12-2025,karnataka,chitradurga,577536,6,2,0
31-12-2025,karnataka,chitradurga,577540,4,1,0
31-12-2025,karnataka,chitradurga,577543,2,0,0
31-12-2025,karnataka,chitradurga,577597,1,0,1
31-12-2025,karnataka,dakshina kannada,574142,1,1,0
31-12-2025,karnataka,dakshina kannada,574150,1,0,0
31-12-2025,karnataka,dakshina kannada,574199,3,0,0
31-12-2025,karnataka,dakshina kannada,574214,2,0,0
31-12-2025,karnataka,dakshina kannada,574228,1,0,0
31-12-2025,karnataka,dakshina kannada,574241,2,3,0
31-12-2025,karnataka,dakshina kannada,574259,1,0,0
31-12-2025,karnataka,dakshina kannada,575008,1,0,0
31-12-2025,karnataka,dakshina kannada,575014,2,0,0
31-12-2025,karnataka,dakshina kannada,575022,3,0,0
31-12-2025,karnataka,dakshina kannada,575028,1,0,0
31-12-2025,karnataka,dakshina kannada,575030,9,0,0
31-12-2025,karnataka,davanagere,577001,1,1,0
31-12-2025,karnataka,davanagere,577002,2,0,0
31-12-2025,karnataka,davanagere,577004,4,0,0
31-12-2025,karnataka,davanagere,577006,0,1,0
31-12-2025,karnataka,davanagere,577001,6,0,0
31-12-2025,karnataka,davanagere,577003,1,0,0
31-12-2025,karnataka,davanagere,577213,8,1,0
31-12-2025,karnataka,davanagere,577224,0,3,1
31-12-2025,karnataka,davanagere,577528,9,4,0
31-12-2025,karnataka,davanagere,577553,1,1,0
31-12-2025,karnataka,davanagere,583137,1,0,0
31-12-2025,karnataka,dharwad,580008,1,0,0
31-12-2025,karnataka,dharwad,580026,1,0,0
31-12-2025,karnataka,dharwad,580028,6,1,0
31-12-2025,karnataka,dharwad,580030,2,2,0
31-12-2025,karnataka,dharwad,580031,3,2,0
31-12-2025,karnataka,dharwad,580118,1,0,0
31-12-2025,karnataka,dharwad,581107,2,1,0
31-12-2025,karnataka,dharwad,581201,2,0,0
31-12-2025,karnataka,dharwad,581212,3,0,0
31-12-2025,karnataka,gadag,582101,4,2,0
31-12-2025,karnataka,gadag,582205,14,0,0
31-12-2025,karnataka,gadag,582207,9,3,0
